TimeStep,Time,KineticEnergy,PotentialEnergy,TotalEnergy,Virial,Temperature,MeanSquareDisplacement
170,0.8550000000000006,351.0324076096283,-2428.2280238071016,-2077.195616197473,-3868.211464515547,0.46804321014617106,0.0582457518963685
171,0.8600000000000007,349.7329050548125,-2426.9245095299552,-2077.191604475143,-3842.6218553255576,0.4663105400730833,0.058318344063123244
172,0.8650000000000007,348.7653364884324,-2425.9582085763254,-2077.192872087893,-3821.5488266030666,0.4650204486512432,0.05838790342340018
173,0.8700000000000007,348.1203427461192,-2425.318699277104,-2077.1983565309847,-3805.0658351350535,0.4641604569948256,0.058453985560685415
174,0.8750000000000007,347.72424340577675,-2424.9303272251195,-2077.206083819343,-3792.341819996732,0.46363232454103565,0.05851635857223069
175,0.8800000000000007,347.4673917794933,-2424.681281384869,-2077.2138896053757,-3781.964949433148,0.46328985570599107,0.05857494627327127
176,0.8850000000000007,347.2359420369231,-2424.4559764618125,-2077.2200344248895,-3772.4676598073174,0.4629812560492308,0.05862974930373925
177,0.8900000000000007,346.9384413592342,-2424.161902412465,-2077.223461053231,-3762.6664004243216,0.46258458847897893,0.05868076623222212
178,0.8950000000000007,346.52214398133196,-2423.7461015770346,-2077.223957595703,-3751.919697295132,0.4620295253084426,0.05872793247478428
179,0.9000000000000007,345.97728347184653,-2423.199337858457,-2077.2220543866106,-3740.184575590794,0.4613030446291287,0.05877108758068587
180,0.9050000000000007,345.3304319831627,-2422.5491447403533,-2077.2187127571906,-3727.9344387527094,0.4604405759775503,0.05880997250462719
181,0.9100000000000007,344.6311099719098,-2421.8460817801574,-2077.214971808248,-3715.937821795649,0.459508146629213,0.058844250766073775
182,0.9150000000000007,343.93696128671513,-2421.1485613953564,-2077.2116001086415,-3705.0798067992373,0.4585826150489535,0.0588735433180169
183,0.9200000000000007,343.30216979207427,-2420.5111121172645,-2077.20894232519,-3696.1721166218904,0.45773622638943234,0.05889746556848921
184,0.9250000000000007,342.7716595486929,-2419.978637592009,-2077.2069780433158,-3689.886200993724,0.4570288793982572,0.058915659496743315
185,0.9300000000000007,342.3804730659908,-2419.5859530909856,-2077.205480024995,-3686.757753512247,0.45650729742132107,0.0589278168539389
186,0.9350000000000007,342.15591658532867,-2419.3602013603404,-2077.2042847750117,-3687.178436471241,0.4562078887804382,0.05893369466046493
187,0.9400000000000007,342.11948944031974,-2419.3228668472048,-2077.203377406885,-3691.406150608822,0.45615931925375963,0.05893312607545903
188,0.9450000000000007,342.2868311063198,-2419.4897489903065,-2077.2029178839866,-3699.6156085046555,0.45638244147509305,0.058926029560481846
